Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD
abduction	621	3.19	1.94	4.95	1.99	4.25	2.05
able	1401	6.60	2.44	4.50	2.41	7.00	1.75
abortion	622	4.00	2.11	4.72	2.22	5.44	2.33
absent	1402	4.00	1.77	5.20	1.37	4.67	2.23
absurd	623	3.86	2.14	4.09	2.43	4.76	2
abundance	624	6.62	2.16	5.90	2.72	6.05	2.24
abuse	1	2.78	1.3	6.67	2.4	3.33	2.45
accept	1403	6.27	2.6	6.20	2.04	4.79	1.93
acceptance	625	7.75	1.25	6.00	2.25	6.75	1.86
access	1404	6.21	2.12	4.85	1.91	6.23	1.92
accident	2	2.00	1.06	5.94	3.27	3.53	2.15
accord	1405	5.60	1.5	4.07	1.82	5.07	1.22
accost	1406	4.93	0.47	4.50	1.79	4.79	1.31
accuse	1407	3.40	1.12	6.33	2.13	4.07	1.44
ace	626	7.70	1.34	6.35	2.62	6.45	2.58
ache	627	3.00	1.76	5.26	2.28	3.89	1.82
achievement	3	7.58	1.73	4.42	2.61	6.67	2.1
acre	1408	5.57	1.45	5.64	1.91	6.38	1.85
action	1409	7.00	1.25	6.60	1.99	6.40	1.68
activate	4	5.89	0.93	4.44	2.7	5.56	2.19
actor	1410	7.20	1.37	5.79	2.12	5.00	1.75
ad	1411	5.12	1.31	4.38	1.86	5.06	0.57
adapt	1412	6.00	1.41	4.42	2.07	5.92	1.51
addict	581	2.84	2.53	5.64	2.56	3.76	2.59
addicted	628	2.75	1.33	4.50	2.24	3.65	2.03
adhere	1413	4.67	0.9	4.00	1.13	3.80	2.11
adjust	1414	5.14	1.41	4.93	1.38	5.29	1.27
admire	1415	7.20	0.41	5.60	1.55	5.60	1.35
admired	5	7.60	1.45	6.40	1.99	7.73	1.22
admit	1416	5.20	1.74	5.27	1.49	4.80	2.14
adopt	1417	6.57	1.45	4.62	2.1	6.23	1.48
adorable	6	7.35	1.37	5.38	2.39	5.31	2.27
adore	1418	7.12	2.09	5.31	2.8	5.25	1.44
adorn	1419	5.87	0.83	4.20	2.04	5.40	1.3
adult	546	6.48	1.53	4.72	2.25	5.92	1.85
advantage	629	7.26	1.45	5.37	1.98	6.37	2.36
adventure	630	7.23	1.69	6.91	2.43	6.38	1.77
advice	1420	6.13	1.19	5.60	1.45	6.07	2.12
affair	1421	3.71	2.09	5.85	2.7	3.38	2.26
affection	7	7.90	0.99	6.10	2.56	5.20	2.35
affectionate	1422	6.33	2.02	5.67	2.44	4.93	2.19
affirm	1423	6.20	0.86	4.73	1.16	6.33	1.5
afford	1424	5.75	1.98	4.62	1.89	5.31	2.21
afraid	8	2.42	1.56	6.67	2.35	5.25	3.08
aggravated	1425	3.27	1.39	6.00	1.96	5.07	2.34
aggravation	1426	2.36	1.22	5.08	2.96	4.08	2.02
aggressive	9	5.58	1.31	6.17	2.48	6.50	1.68
agility	22	7.10	1.52	4.20	1.81	6.10	2.18
agony	10	2.47	2.29	5.47	2.77	4.60	2.16
agree	1427	6.81	1.28	4.56	1.41	6.19	1.42
agreement	631	6.74	1.52	4.89	1.94	6.47	1.98
aid	1428	6.62	1.36	5.00	1.86	5.19	1.68
ail	1429	3.87	1.6	4.93	1.03	4.20	1.57
air	632	6.47	1.61	4.68	2.36	5.21	1.93
airplane	1430	6.47	1.46	6.20	1.42	3.53	2.03
airport	1431	5.87	2.1	5.64	2.13	4.29	1.9
alarm	1432	3.07	1.62	7.20	2.11	3.60	1.55
album	1433	6.13	1.55	4.73	2.46	5.33	1.72
alcohol	1434	5.56	2.37	5.81	2.29	5.56	1.82
alcoholic	582	3.72	2.81	5.36	2.6	4.84	2.54
alcove	1435	5.33	0.9	4.07	1.87	4.93	1.98
alert	11	5.55	1.64	6.65	2.6	6.55	1.64
alien	633	6.36	1.65	5.77	1.93	4.32	2.1
alimony	634	3.21	1.55	3.67	2.13	4.00	2
alive	635	6.60	2.48	5.35	2.72	6.80	1.94
allege	1436	4.47	1.36	3.53	1.88	5.00	1.25
allergy	636	3.20	1.79	4.60	2.23	2.95	1.93
alley	637	4.76	1.76	4.62	1.91	4.38	1.28
alone	12	3.07	2.34	4.13	2.72	3.87	2.45
aloof	13	5.24	1.92	3.88	1.8	4.82	1.67
alter	1437	6.13	1.64	5.36	1.98	6.57	1.4
amaze	1438	7.31	1.58	6.81	1.8	5.44	1.63
ambition	14	5.95	1.99	5.85	2.7	6.20	2.26
ambitious	1439	7.56	1.36	6.69	2.09	7.12	1.78
ambulance	15	3.00	1.33	6.60	1.78	3.80	2.49
ambush	1440	4.31	1.7	6.25	1.18	4.50	1.83
amuse	1441	7.29	1.38	5.43	2.34	6.21	1.42
amusement	1442	7.80	1.21	5.87	2.29	6.27	1.49
anarchy	1443	3.69	1.74	5.12	2.33	3.31	1.74
ancestor	1444	5.93	1.82	4.21	2.04	4.57	2.17
angel	16	6.80	2.35	5.30	2.83	4.40	2.07
anger	17	2.87	1.25	6.73	2.31	5.47	2.23
angry	18	3.87	1.55	6.67	2.09	6.21	2.81
anguished	19	2.70	1.89	4.45	2.33	3.70	2.18
animal	1445	6.43	1.4	5.50	1.79	6.14	1.75
ankle	638	5.63	1.42	4.53	2.09	4.68	1.95
annoy	1446	2.57	1.4	5.00	2.32	4.86	2.21
annoy	20	3.00	1.41	6.50	1.45	5.09	1.58
annoyance	1447	3.47	1.64	5.21	1.97	4.21	1.63
answer	639	7.00	1.7	5.68	2.21	6.11	2.21
antique	1448	4.53	2	4.47	2.2	5.80	1.52
anus	1449	4.93	2.09	4.36	2.53	5.71	1.54
anxiety	1450	3.50	1.67	5.94	2.17	3.69	1.89
anxious	21	4.80	1.93	6.70	2.06	5.80	1.81
apartment	1451	6.93	1.69	5.08	2.14	6.92	2.36
apathy	1452	4.31	1.62	4.19	2.14	4.19	1.28
apology	1453	5.19	1.87	4.62	1.93	5.75	2.08
appall	1454	4.47	2.1	6.00	2.8	5.07	2.02
applause	640	7.33	1.37	5.83	2.57	6.89	1.91
apple	1455	6.44	1.67	3.94	1.88	5.75	1.77
appliance	641	5.05	1.62	4.23	2.33	5.09	1.6
application	1456	5.21	1.31	4.93	2.13	4.14	1.88
appreciative	1457	7.47	1.19	5.47	2.42	5.87	1.92
apprehension	1458	3.14	1.83	5.92	2.02	3.08	1.32
arch	1459	5.42	1.44	4.42	2.5	5.00	2.59
area	1460	5.80	1.52	3.71	2.23	6.00	1.75
arena	1461	6.80	1.7	6.93	1.71	5.67	2.44
argue	1462	3.07	1.49	6.40	2.47	5.53	2.56
arm	642	5.50	1.79	4.40	2.74	5.05	2.01
army	23	4.90	1.52	4.65	2.01	5.20	2.38
aroma	1463	6.50	2.04	5.65	2.48	5.65	1.53
arouse	1464	7.73	1.1	7.27	2.09	6.40	2.5
aroused	24	8.00	1.15	6.22	3.07	6.10	2.69
arrogant	25	4.69	2.8	5.12	2.74	5.88	2.53
