Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD
abduction	621	2.33	2.13	6.09	2.72	2.76	2.49
able	1401	6.88	1.54	4.12	2	6.69	2.3
abortion	622	3.15	2.39	5.85	3.09	4.00	2.55
absent	1402	3.27	1.62	4.09	2.07	3.91	1.22
absurd	623	4.70	1.3	4.65	1.93	4.70	1.42
abundance	624	6.55	1.9	5.10	2.53	5.55	2.11
abuse	1	1.46	1.03	6.88	2.83	3.81	3.12
accept	1403	7.33	1.35	4.87	1.68	6.00	1.77
acceptance	625	8.18	1.56	4.86	3	6.55	1.99
access	1404	6.07	1.03	5.27	1.49	6.27	1.16
accident	2	2.08	1.29	6.48	2.62	3.92	2.29
accord	1405	5.47	0.83	4.40	1.68	5.57	1.16
accost	1406	3.67	1.72	5.93	1.83	4.00	1.81
accuse	1407	1.54	0.88	6.85	1.72	4.08	3.04
ace	626	6.14	2.1	4.95	2.33	6.33	2.08
ache	627	2.00	1.11	4.77	2.62	3.23	1.63
achievement	3	8.00	1.24	5.97	2.8	6.52	2.47
acre	1408	5.73	1.1	4.20	1.61	5.73	1.49
action	1409	6.27	1.58	6.47	1.81	4.87	2.17
activate	4	5.31	0.97	5.00	2.55	5.38	1.75
actor	1410	7.06	1.29	6.31	1.7	4.94	1.77
ad	1411	4.85	1.14	4.17	1.53	4.92	1.62
adapt	1412	5.36	0.5	4.64	1.69	4.91	1.14
addict	581	2.12	1.48	5.68	1.95	3.68	2.54
addicted	628	2.29	1.49	5.09	2.67	3.29	2.43
adhere	1413	5.40	1.3	4.13	2.23	4.87	1.19
adjust	1414	5.36	1.74	5.86	1.88	4.43	1.55
admire	1415	8.07	1.1	6.80	1.86	6.93	1.58
admired	5	7.81	2.01	5.97	2.53	7.44	2.21
admit	1416	4.64	1.28	4.64	2.21	4.07	1.73
adopt	1417	6.45	1.13	4.82	1.94	5.45	1.21
adorable	6	8.12	1.07	4.96	2.92	6.00	2.61
adore	1418	7.36	1.96	6.36	2.06	5.09	2.26
adorn	1419	6.42	1.38	5.00	1.65	5.00	1.28
adult	546	6.50	1.5	4.81	1.65	5.58	2.53
advantage	629	6.72	2.11	4.48	2.1	6.35	2.17
adventure	630	8.00	1.17	7.05	1.85	6.55	1.61
advice	1420	6.20	1.66	4.73	1.94	4.87	1.96
affair	1421	2.36	1.5	6.64	2.38	4.09	2.07
affection	7	8.57	0.74	6.25	2.86	6.39	2.13
affectionate	1422	8.07	1.16	5.67	3.27	6.20	2.11
affirm	1423	6.14	1.56	4.86	1.61	5.79	0.89
afford	1424	6.86	1.96	6.15	2.12	6.31	2.63
afraid	8	1.83	1.14	6.68	2.65	3.43	2.25
aggravated	1425	2.00	1.24	5.57	2.41	3.43	1.16
aggravation	1426	1.88	0.89	6.94	1.65	3.62	1.86
aggressive	9	4.89	1.79	5.68	2.29	5.21	2.57
agility	22	6.24	1.55	5.07	1.77	5.79	1.26
agony	10	2.41	2.15	6.34	2.62	3.75	2.62
