Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD
^_^'	140	3.03	1.85	5.87	2.55	2.87	1.99
<3	787	7.39	1.53	6.34	2.25	5.49	2.11
u.u	2309	5.33	1.97	5.03	1.96	4.73	1.7
^_^;;	389	4.64	1.83	3.77	2.29	3.44	1.96
8)	200	8.21	1.82	6.49	2.77	6.63	2.43
x_x	588	1.94	1.76	5.73	2.73	2.84	2.32
*_*	1078	7.57	1.41	6.9	1.94	5.57	1.63
(-"-)	2468	2.31	1.51	6.0	2.45	2.96	2.22
(?_?)	1335	3.46	1.93	6.07	2.34	3.04	1.91
:S	2402	3.07	1.91	6.03	2.29	3.24	1.79
._.	812	3.07	1.57	3.83	2.05	2.78	2.08
<:-|	1458	3.0	2.15	4.24	2.21	3.69	1.91
:-6	1517	4.0	1.66	4.27	2.2	4.43	1.45
=^_^=	504	5.72	2.43	4.38	2.24	6.16	2.05
:P	2217	5.52	1.84	4.97	1.76	5.55	1.62
:O	200	8.21	1.82	6.49	2.77	6.63	2.43
-_-	2167	2.13	1.14	6.33	2.04	2.97	1.73
:D	773	7.4	1.87	5.27	2.64	6.0	1.86
;)	1033	6.93	1.83	5.44	2.68	5.7	1.77
@_@	1394	5.04	1.55	4.0	2.17	4.59	1.47
^_^	241	8.22	1.22	5.98	2.54	6.6	1.8
:-O	152	7.5	2.2	7.67	1.91	6.18	2.17
:@	18	2.85	1.7	7.17	2.07	5.55	2.74
:'(	2445	1.8	1.24	5.07	2.19	3.0	1.79
XP	2217	5.52	1.84	4.97	1.76	5.55	1.62
>:(	18	2.85	1.7	7.17	2.07	5.55	2.74
$_$	769	3.51	1.93	4.71	2.26	4.88	2.03
\o/	69	8.1	1.17	6.12	2.45	6.0	2.06
(-_-)zzz	399	7.2	1.77	2.8	2.66	5.41	2.41
:*	248	8.26	1.54	7.32	2.03	6.93	2.28
:-X	248	8.26	1.54	7.32	2.03	6.93	2.28
:(	368	1.61	0.95	4.13	2.38	3.45	2.18
:)	200	8.21	1.82	6.49	2.77	6.63	2.43
*\0/*	1276	6.48	2.13	5.67	2.69	5.81	1.92
:$	140	3.03	1.85	5.87	2.55	2.87	1.99
XD	1771	8.36	1.13	7.39	2.01	6.64	1.87
>_<	455	2.17	1.21	5.94	2.36	3.91	2.33
=_=	2357	3.28	1.69	2.64	1.5	3.96	2.1
^_~	2217	5.52	1.84	4.97	1.76	5.55	1.62
orz	19	2.12	1.56	5.33	2.69	3.45	2.37
O_O	2173	4.03	2.25	7.45	1.97	3.34	2.19
9_9	177	2.48	1.64	5.61	2.76	3.5	2.12
(^O^)	241	8.22	1.22	5.98	2.54	6.6	1.8
v.v	2125	2.21	1.75	5.21	2.44	2.82	1.63
>:-)	741	3.23	2.64	6.39	2.44	5.25	2.6
D:<	213	2.76	2.25	7.21	2.14	4.63	2.7
-_-'	899	3.29	1.47	6.59	2.07	3.56	1.73
;_;	423	3.76	1.42	6.25	1.59	4.47	1.99
^.^	1771	8.36	1.13	7.39	2.01	6.64	1.87
o_O	422	7.47	1.56	7.47	2.09	6.11	2.19
